product_id,variant_id,status,title,variant,sku,old_price,final_price,changed
9920601948408,48966680871160,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 9,,6300.00,6300.00,No (reverted)
9920601948408,48966680903928,ACTIVE,Certified 1.35ct VVS1 Round Pink Moissanite Ring in 18K Gold Plated,18K Gold Plated Vermeil / 10,,6300.00,6300.00,No (reverted)
9920602013944,48966681362680,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00990,7700.00,7700.00,No (reverted)
9920602013944,48966681395448,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 5,,7700.00,7700.00,No (reverted)
9920602013944,48966681428216,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 6,,7700.00,7700.00,No (reverted)
9920602013944,48966681460984,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 8,,7700.00,7700.00,No (reverted)
9920602013944,48966681493752,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 9,,7700.00,7700.00,No (reverted)
9920602013944,48966681526520,ACTIVE,Certified 2.5ct VVS1 Pink Moissanite Solitaire Ring in 18K Gold Plated,18K Gold Plated Vermeil / 10,,7700.00,7700.00,No (reverted)
9920602079480,48966681657592,ACTIVE,Certified 7.2ct Asscher Cut White Moissanite Ring For Valentines 18K Gold Plated,18K Gold Plated Vermeil / 7,GH-MOI-00989,9800.00,9800.00,No (reverted)
9920602079480,48966681690360,ACTIVE,Certified 7.2ct Asscher Cut White Moissanite Ring For Valentines 18K Gold Plated,18K Gold Plated Vermeil / 5,,9800.00,9800.00,No (reverted)
9920602079480,48966681723128,ACTIVE,Certified 7.2ct Asscher Cut White Moissanite Ring For Valentines 18K Gold Plated,18K Gold Plated Vermeil / 6,,9800.00,9800.00,No (reverted)
9920602079480,48966681755896,ACTIVE,Certified 7.2ct Asscher Cut White Moissanite Ring For Valentines 18K Gold Plated,18K Gold Plated Vermeil / 8,,9800.00,9800.00,No (reverted)
